Date,Day,Cases
03/06/1995,0,1
03/07/1995,1,1
03/08/1995,2,1
03/13/1995,7,2
03/17/1995,11,1
03/18/1995,12,1
03/20/1995,14,1
03/22/1995,16,2
03/24/1995,18,1
04/01/1995,26,2
04/03/1995,28,1
04/04/1995,29,1
04/05/1995,30,2
04/06/1995,31,1
04/08/1995,33,1
04/09/1995,34,1
04/10/1995,35,1
04/11/1995,36,1
04/12/1995,37,1
04/13/1995,38,1
04/14/1995,39,3
04/16/1995,41,4
04/17/1995,42,4
04/18/1995,43,1
04/19/1995,44,2
04/20/1995,45,4
04/21/1995,46,2
04/22/1995,47,1
04/23/1995,48,7
04/24/1995,49,4
04/25/1995,50,4
04/26/1995,51,2
04/27/1995,52,4
04/28/1995,53,5
04/29/1995,54,3
04/30/1995,55,11
05/01/1995,56,12
05/02/1995,57,15
05/03/1995,58,7
05/04/1995,59,7
05/05/1995,60,8
05/06/1995,61,1
05/07/1995,62,5
05/08/1995,63,8
05/09/1995,64,6
05/10/1995,65,8
05/11/1995,66,3
05/12/1995,67,4
05/13/1995,68,8
05/14/1995,69,11
05/15/1995,70,3
05/16/1995,71,13
05/17/1995,72,5
05/18/1995,73,8
05/19/1995,74,3
05/20/1995,75,3
05/21/1995,76,8
05/22/1995,77,4
05/23/1995,78,5
05/24/1995,79,1
05/25/1995,80,3
05/26/1995,81,4
05/27/1995,82,3
05/28/1995,83,1
05/29/1995,84,2
05/30/1995,85,3
05/31/1995,86,1
06/01/1995,87,3
06/02/1995,88,3
06/03/1995,89,4
06/04/1995,90,3
06/05/1995,91,5
06/06/1995,92,2
06/07/1995,93,2
06/08/1995,94,1
06/10/1995,96,2
06/13/1995,99,2
06/17/1995,103,2
06/18/1995,104,2
06/20/1995,106,1
07/12/1995,128,1
