longitude,latitude,Prevalence
-97.8098,25.6673,0.22
-88.9066,16.2155,55
-88.7986,16.3474,55
-88.741,16.4411,55
-88.6255,16.4725,55
-84.0247,9.9014,0.31
-83.3784,22.5536,2
-78.8922,0.0246,7.6
-78.4398,-0.2219,7.6
-73.3381,-3.8023,4.5
-72.7138,10.0488,23.7
-69.8681,-6.6596,9.9
-69.63,-14.5745,0
-63.7901,-22.5189,76
-57.9766,-35.0121,0
-57.9414,-34.8419,0
-54.9723,-20.9262,7
-54.893,-27.0964,0
-54.6162,-25.5162,2
-52.9017,2.1969,57.1
-51.127,-30.0906,6.45
-48.2755,-18.9128,7.2
-47.4061,-18.485,7.4
-42.6892,-22.0461,7.1
-41.2654,-18.0632,8.8
-40.5934,-16.8625,37.9
-35.508,-9.4038,14
-5.217,6.2328,51
-4.3668,5.3262,13.3
-4.0235,5.3647,13.3
-4.0161,5.6028,55.4
-1.2706,5.1241,4.5
0.9067,10.4756,14.45
0.9161,10.7789,14.45
0.9919,10.0131,14.45
1.0039,10.8272,14.45
1.0083,10.5106,14.45
1.0269,10.6308,14.45
1.115,10.2231,14.45
1.1328,10.1264,14.45
1.1436,10.8106,14.45
1.2633,10.6158,14.45
1.3772,10.4967,14.45
1.5536,10.0544,14.45
1.6156,10.1997,14.45
1.6453,8.0161,14.45
1.6586,8.1589,14.45
1.6667,6.7625,14.45
1.6683,6.5825,14.45
1.6772,6.9406,14.45
1.7281,10.5639,14.45
1.7558,10.3811,14.45
1.7803,7.0981,14.45
1.7839,6.8047,14.45
1.7914,6.2747,14.45
1.8364,6.9792,14.45
1.8806,7.9825,14.45
1.8856,8.4175,14.45
1.9083,6.6231,14.45
1.9222,6.4033,14.45
2.0161,7.7733,14.45
2.0822,7.8961,14.45
2.1789,8.0131,14.45
2.1847,8.2231,14.45
2.2678,10.3342,14.45
2.3167,8.0789,14.45
2.3992,10.2781,14.45
2.4206,11.2872,14.45
2.5564,9.1256,14.45
2.5664,9.4508,14.45
2.5817,9.2772,14.45
2.6239,9.5625,14.45
2.6675,9.3733,14.45
2.6736,10.6761,14.45
2.735,10.8986,14.45
2.7822,10.7169,14.45
2.8747,10.9789,14.45
2.8954,6.4249,45
2.9222,12.2914,14.45
2.9364,11.1389,14.45
3.0331,12.2036,14.45
3.2069,12.0325,14.45
3.3758,11.1194,14.45
3.4222,11.8561,14.45
3.4878,10.9208,14.45
3.5169,11.7867,14.45
3.5839,10.7864,14.45
4.4723,8.7082,15.4
4.539,7.9578,43.7
